Month,Port,Grade,Tonnes,Value
2025-02,Lobito,Raw,108,47853.46
2025-02,Lobito,Refined,80,50457.3
2025-02,Lobito,Brown,62,44103.2
2025-02,Lobito,Specialty,31,35489.89
2025-02,Namibe,Specialty,14,16391.17
2025-02,namibe,Brown,25,17865.75
2025-02,NAMIBE,Refined,33,20871.13
2025-02,NMB,Raw,44,20344.06
2025-02,Cabinda,Raw,48,22232.31
2025-02,Cabinda,Refined,35,23364.3
2025-02,Cabinda,Brown,28,19732.48
2025-02,Cabinda,Specialty,15,17254.95
2025-03,Luanda,Raw,174,78524.9
2025-03,Luanda,Refined,128,84416.33
2025-03,Luanda,Brown,93,64159.4
2025-03,Luanda,Specialty,50,57974.93
2025-03,Lobito,Raw,112,50464.41
2025-03,Lobito,Refined,80,51296.74
2025-03,Lobito,Brown,58,40078.03
2025-03,Lobito,Specialty,32,36401.92
2025-03,Namibe,Raw,45,19810.62
2025-03,Namibe,Refined,32,21042.05
2025-03,NAMIBE,Brown,26,17724.14
2025-03,NAMIBE,Specialty,14,16141.16
2025-03,Cabinda,Raw,47,20777.97
2025-03,Cabinda,Refined,34,22636.82
2025-03,Cabinda,Brown,27,19121.72
2025-03,Cabinda,Specialty,15,17524.89
2025-04,Luanda,Raw,165,
2025-04,Luanda,Refined,120,79186.26
2025-04,Luanda,Brown,98,70466.32
2025-04,Luanda,Specialty,52,60688.09
2025-04,Lobito,Raw,109,49353.87
2025-04,Lobito,Refined,77,49207.42
2025-04,Lobito,Brown,60,40813.14
2025-04,Lobito,Specialty,33,38357.91
2025-04,namibe,Brown,25,17003.31
2025-04,NAMIBE,Raw,43,18961.12
2025-04,NAMIBE,Refined,32,20335.28
2025-04,NAMIBE,Specialty,14,16162.2
2025-04,Cabinda,Raw,45,20423.44
2025-04,Cabinda,Refined,33,21400.71
2025-04,Cabinda,Brown,25,17373.06
2025-04,Cabinda,Specialty,14,15932.73
2025-05,Luanda,Raw,172,76838.66
2025-05,Luanda,Refined,126,83531.08
2025-05,Luanda,Brown,91,62102.05
2025-05,Luanda,Specialty,50,57636.0
2025-05,Lobito,Raw,116,51730.08
2025-05,Lobito,Refined,81,53538.42
2025-05,Lobito,Brown,62,44062.02
2025-05,Lobito,Specialty,36,40653.21
2025-05,Namibe,Brown,24,16515.71
2025-05,namibe,Raw,40,17624.57
2025-05,namibe,Specialty,15,17526.24
2025-05,NAMIBE,Refined,31,20354.88
2025-05,Cabinda,Raw,46,20833.2
2025-05,Cabinda,Refined,36,22858.8
2025-05,Cabinda,Brown,28,20146.51
2025-05,Cabinda,Specialty,14,15641.81
2025-06,Luanda,Raw,163,74130.51
2025-06,Luanda,Refined,130,83976.04
2025-06,Luanda,Brown,96,654904.2
2025-06,Luanda,Specialty,55,63732.88
2025-06,Lobito,Raw,104,47565.13
2025-06,Lobito,Refined,84,54928.95
2025-06,Lobito,Brown,59,42498.97
2025-06,Lobito,Specialty,36,41020.45
2025-06,Namibe,Refined,32,20601.86
2025-06,namibe,Raw,42,18753.23
2025-06,namibe,Specialty,14,16545.12
2025-06,NMB,Brown,25,17838.45
2025-06,Cabinda,Raw,49,22484.88
2025-06,Cabinda,Refined,36,23309.42
2025-06,Cabinda,Brown,28,20147.4
2025-06,Cabinda,Specialty,15,17568.99
2025-07,Luanda,Raw,168,75525.14
2025-07,Luanda,Refined,122,80399.22
2025-07,Luanda,Brown,91,65044.25
2025-07,Luanda,Specialty,57,63924.35
2025-07,Lobito,Raw,115,50954.7
2025-07,Lobito,Refined,80,52344.23
2025-07,Lobito,Brown,61,41492.53
2025-07,Lobito,Specialty,37,41737.74
2025-07,Namibe,Raw,40,18321.66
2025-07,Namibe,Refined,31,20609.81
2025-07,namibe,Brown,24,16574.48
2025-07,NAMIBE,Specialty,14,16532.83
2025-07,Cabinda,Raw,46,20973.33
2025-07,Cabinda,Refined,35,23102.39
2025-07,Cabinda,Brown,28,19771.58
2025-07,Cabinda,Specialty,15,17553.19
2025-08,Luanda,Raw,159,70354.81
2025-08,Luanda,Refined,127,81590.14
2025-08,Luanda,Brown,95,66393.31
2025-08,Luanda,Specialty,56,64112.15
2025-08,Lobito,Raw,113,50333.74
2025-08,Lobito,Refined,83,53208.46
2025-08,Lobito,Brown,60,41044.05
2025-08,Lobito,Specialty,35,39331.22
2025-08,Namibe,Specialty,16,18427.2
2025-08,namibe,Raw,41,18740.24
2025-08,namibe,Brown,23,16316.95
2025-08,NMB,Refined,30,19168.17
2025-08,Cabinda,Raw,47,20643.07
2025-08,Cabinda,Refined,34,21738.64
2025-08,Cabinda,Brown,26,17669.45
2025-08,Cabinda,Specialty,16,18150.84
2025-09,Luanda,Raw,177,79905.0
2025-09,Luanda,Refined,172,109293.08
2025-09,Luanda,Brown,99,69262.07
2025-09,Luanda,Specialty,59,68151.52
2025-09,Lobito,Raw,110,49323.19
2025-09,Lobito,Refined,106,67045.39
2025-09,Lobito,Brown,65,45439.2
2025-09,Lobito,Specialty,38,43439.65
2025-09,Namibe,Refined,39,24816.43
2025-09,Namibe,Specialty,16,17978.77
2025-09,namibe,Brown,23,15910.51
2025-09,NMB,Raw,38,17232.81
2025-09,Cabinda,Raw,50,22643.53
2025-09,Cabinda,Refined,50,31965.09
2025-09,Cabinda,Brown,27,18843.88
2025-09,Cabinda,Specialty,16,18797.62
2025-10,Luanda,Raw,177,78719.91
2025-10,Luanda,Refined,171,111881.13
2025-10,Luanda,Brown,97,69723.48
2025-10,Luanda,Specialty,55,62153.34
2025-10,Lobito,Raw,113,49803.68
2025-10,Lobito,Refined,107,67776.75
2025-10,Lobito,Brown,59,41177.35
2025-10,Lobito,Specialty,38,43152.68
2025-10,Namibe,Brown,23,16509.5
2025-10,namibe,Raw,38,17312.34
2025-10,namibe,Refined,41,26576.5
2025-10,NMB,Specialty,15,17379.44
2025-10,Cabinda,Raw,50,23085.45
2025-10,Cabinda,Refined,48,31283.42
2025-10,Cabinda,Brown,28,20080.29
2025-10,Cabinda,Specialty,17,19047.26
2025-11,Luanda,Raw,161,71613.69
2025-11,Luanda,Refined,174,113569.64
2025-11,Luanda,Brown,92,62948.5
2025-11,Luanda,Specialty,59,68663.12
2025-11,Lobito,Raw,117,52651.49
2025-11,Lobito,Refined,111,70333.73
2025-11,Lobito,Brown,59,41131.57
2025-11,Lobito,Specialty,37,41912.69
2025-11,Namibe,Raw,36,16648.98
2025-11,Namibe,Refined,41,26770.24
2025-11,namibe,Specialty,15,17011.44
2025-11,NMB,Brown,23,16582.59
2025-11,Cabinda,Raw,46,21018.29
2025-11,Cabinda,Refined,49,32139.53
2025-11,Cabinda,Brown,29,19912.05
2025-11,Cabinda,Specialty,17,19708.1
2025-12,Luanda,Raw,167,73306.91
2025-12,Luanda,Refined,123,79150.38
2025-12,Luanda,Brown,97,69357.4
2025-12,Luanda,Specialty,57,66311.72
2025-12,Lobito,Raw,109,50360.2
2025-12,Lobito,Refined,86,56068.02
2025-12,Lobito,Brown,63,43609.21
2025-12,Lobito,Specialty,37,43750.38
2025-12,Namibe,Raw,37,16664.58
2025-12,Namibe,Refined,31,20340.61
2025-12,Namibe,Brown,22,15319.84
2025-12,NAMIBE,Specialty,14,15966.48
2025-12,Cabinda,Raw,51,23122.69
2025-12,Cabinda,Refined,38,24260.67
2025-12,Cabinda,Brown,28,20102.94
2025-12,Cabinda,Specialty,17,19782.55
