Month,Region,Category,Units,Revenue
2024-04,Central,Footwear,405,25269.46
2024-04,Central,Equipment,315,26174.98
2024-04,Central,Accessories,310,17201.09
2024-04,East,Apparel,614,32013.75
2024-04,East,Footwear,405,32341.53
2024-04,East,Equipment,392,27647.68
2024-04,east,Accessories,349,17825.66
2024-04,South,Apparel,342,22765.62
2024-04,South,Footwear,322,21312.98
2024-04,South,Equipment,302,17522.53
2024-04,South,Accessories,130,10655.43
2024-05,West,Apparel,515,40275.87
2024-05,West,Footwear,710,33598.75
2024-05,West,Equipment,437,36243.48
2024-05,West,Accessories,298,19228.93
2024-05,Central,Apparel,359,27086.29
2024-05,Central,Footwear,581,29134.81
2024-05,Central,Equipment,396,26544.13
2024-05,Central,Accessories,198,15818.46
2024-05,East,Apparel,583,31193.0
2024-05,E,Footwear,402,29800.38
2024-05,East,Equipment,466,26807.84
2024-05,east,Accessories,275,19497.67
2024-05,South,Apparel,328,21569.62
2024-05,South,Footwear,349,18838.91
2024-05,South,Equipment,278,19019.48
2024-05,South,Accessories,215,
2024-06,West,Apparel,492,34556.71
2024-06,West,Footwear,411,33367.41
2024-06,West,Equipment,762,36466.96
2024-06,West,Accessories,287,20596.11
2024-06,Central,Apparel,561,28214.71
2024-06,Central,Footwear,448,30362.78
2024-06,Central,Equipment,351,26785.29
2024-06,Central,Accessories,347,18265.09
2024-06,E,Apparel,463,28822.76
2024-06,East,Footwear,452,28812.78
2024-06,EAST,Equipment,410,29507.68
2024-06,E,Accessories,404,19771.79
2024-06,South,Apparel,369,21620.56
2024-06,South,Footwear,402,22068.64
2024-06,South,Equipment,296,18615.44
2024-06,South,Accessories,222,12480.66
2024-07,West,Apparel,442,36250.52
2024-07,West,Footwear,443,35210.91
2024-07,West,Equipment,738,34689.67
2024-07,West,Accessories,316,24762.61
2024-07,Central,Apparel,403,33043.68
2024-07,Central,Footwear,584,30162.36
2024-07,Central,Equipment,506,27110.92
2024-07,Central,Accessories,369,17471.13
2024-07,East,Apparel,359,30269.15
2024-07,east,Footwear,361,27592.43
2024-07,east,Equipment,447,27666.78
2024-07,east,Accessories,236,19975.75
2024-07,South,Apparel,305,22508.28
2024-07,South,Footwear,340,19341.61
2024-07,South,Equipment,321,21912.02
2024-07,South,Accessories,177,13244.23
2024-08,West,Apparel,514,35108.4
2024-08,West,Footwear,455,35972.5
2024-08,West,Equipment,387,32292.78
2024-08,West,Accessories,407,21347.53
2024-08,Central,Apparel,432,31074.62
2024-08,Central,Footwear,541,26954.67
2024-08,Central,Equipment,539,29587.83
2024-08,Central,Accessories,269,18798.24
2024-08,East,Apparel,442,30194.2
2024-08,east,Footwear,349,28774.52
2024-08,EAST,Equipment,353,25987.27
2024-08,East,Accessories,289,17597.06
2024-08,South,Apparel,408,23241.58
2024-08,South,Footwear,269,20200.97
2024-08,South,Equipment,292,18494.11
2024-08,South,Accessories,176,14949.58
2024-09,West,Apparel,664,35561.68
2024-09,West,Footwear,567,46688.29
2024-09,West,Equipment,470,37657.44
2024-09,West,Accessories,458,23476.57
2024-09,Central,Apparel,449,32834.53
2024-09,Central,Footwear,469,39649.04
2024-09,Central,Equipment,630,28555.09
2024-09,Central,Accessories,356,
2024-09,east,Apparel,380,31352.1
2024-09,East,Footwear,715,35455.66
2024-09,EAST,Equipment,375,25176.53
2024-09,EAST,Accessories,260,17966.17
2024-09,South,Apparel,445,23667.09
2024-09,South,Footwear,528,29344.02
2024-09,South,Equipment,251,20365.18
2024-09,South,Accessories,309,15034.95
2024-10,West,Apparel,689,38640.22
2024-10,West,Footwear,587,44533.22
2024-10,West,Equipment,654,36284.46
2024-10,West,Accessories,389,26119.57
2024-10,Central,Apparel,675,30615.72
2024-10,Central,Footwear,446,35816.75
2024-10,Central,Equipment,452,30217.15
2024-10,Central,Accessories,308,21046.34
2024-10,E,Apparel,557,27916.45
2024-10,East,Footwear,449,36386.78
2024-10,East,Equipment,360,28627.66
2024-10,East,Accessories,386,20590.47
2024-10,South,Apparel,443,21743.35
2024-10,South,Footwear,379,30457.19
2024-10,South,Equipment,290,20215.26
2024-10,South,Accessories,165,13530.93
2024-11,West,Apparel,607,50985.21
2024-11,West,Footwear,660,52997.25
2024-11,West,Equipment,433,32252.68
2024-11,West,Accessories,303,24876.09
2024-11,Central,Apparel,501,39894.02
2024-11,Central,Footwear,754,41955.98
2024-11,Central,Equipment,605,29836.65
2024-11,Central,Accessories,276,21894.27
2024-11,east,Apparel,433,33661.51
2024-11,East,Footwear,649,37124.89
2024-11,EAST,Equipment,523,28308.92
2024-11,East,Accessories,331,17465.87
2024-11,South,Apparel,336,26767.88
2024-11,South,Footwear,567,
2024-11,South,Equipment,351,21378.28
2024-11,South,Accessories,248,16459.89
2024-12,West,Apparel,1051,52164.46
2024-12,West,Footwear,783,40804.81
2024-12,West,Equipment,706,39290.92
2024-12,West,Accessories,393,24492.18
2024-12,Central,Apparel,690,39697.21
2024-12,Central,Footwear,461,30153.18
2024-12,Central,Equipment,409,27817.77
2024-12,Central,Accessories,273,20005.28
2024-12,East,Apparel,387,31731.52
2024-12,East,Footwear,374,27622.81
2024-12,E,Equipment,386,27712.09
2024-12,East,Accessories,398,19000.67
2024-12,South,Apparel,496,28890.81
2024-12,South,Footwear,265,20946.31
2024-12,South,Equipment,384,21901.04
2024-12,South,Accessories,243,14909.89
2025-01,West,Apparel,835,47439.55
2025-01,West,Footwear,563,34826.82
2025-01,West,Equipment,548,39483.98
2025-01,West,Accessories,426,29626.39
2025-01,Central,Apparel,550,36779.12
2025-01,Central,Footwear,475,26815.22
2025-01,Central,Equipment,415,28325.17
2025-01,Central,Accessories,352,22377.2
2025-01,EAST,Apparel,643,34444.88
2025-01,EAST,Footwear,333,26958.65
2025-01,E,Equipment,535,27683.38
2025-01,east,Accessories,276,18107.37
2025-01,South,Apparel,496,28974.42
2025-01,South,Footwear,311,23350.01
2025-01,South,Equipment,406,21899.55
2025-01,South,Accessories,327,15031.2
2025-02,West,Apparel,603,38604.04
2025-02,West,Footwear,848,40623.77
2025-02,West,Equipment,513,35985.5
2025-02,West,Accessories,364,26544.78
2025-02,Central,Apparel,587,32168.78
2025-02,Central,Footwear,685,30996.16
2025-02,Central,Equipment,402,30439.32
2025-02,Central,Accessories,333,20621.37
2025-02,East,Apparel,322,26848.94
2025-02,east,Footwear,572,26892.24
2025-02,EAST,Equipment,311,24542.91
2025-02,east,Accessories,257,19779.7
2025-02,South,Apparel,290,24525.32
2025-02,South,Footwear,272,22570.82
2025-02,South,Equipment,331,23028.94
2025-02,South,Accessories,264,17215.62
2025-03,West,Apparel,654,43753.31
2025-03,West,Footwear,553,41346.93
2025-03,West,Equipment,664,36748.91
2025-03,West,Accessories,392,27665.39
2025-03,Central,Apparel,520,34217.26
2025-03,Central,Footwear,555,31092.7
2025-03,Central,Equipment,474,26770.04
2025-03,Central,Accessories,381,22014.69
2025-03,East,Apparel,566,28607.9
2025-03,East,Footwear,344,25064.33
2025-03,EAST,Equipment,559,26596.47
2025-03,EAST,Accessories,296,19777.43
2025-03,South,Apparel,442,23536.73
2025-03,South,Footwear,271,21987.14
2025-03,South,Equipment,301,21908.32
2025-03,South,Accessories,241,18210.1
2025-04,West,Apparel,893,
2025-04,West,Footwear,499,37494.39
2025-04,West,Equipment,480,39893.89
2025-04,West,Accessories,394,29528.88
2025-04,Central,Apparel,478,33077.4
2025-04,Central,Footwear,537,28880.26
2025-04,Central,Equipment,631,29118.96
2025-04,Central,Accessories,318,22983.1
2025-04,east,Apparel,533,27513.22
2025-04,east,Footwear,519,26009.25
2025-04,East,Equipment,561,25862.28
2025-04,East,Accessories,295,19905.2
2025-04,South,Apparel,309,21865.9
2025-04,South,Footwear,329,20897.73
2025-04,South,Equipment,329,19780.09
2025-04,South,Accessories,284,16499.06
2025-05,West,Apparel,730,43941.79
2025-05,West,Footwear,523,40940.47
2025-05,West,Equipment,740,35721.87
2025-05,West,Accessories,420,27931.96
2025-05,Central,Apparel,616,36365.39
2025-05,Central,Footwear,417,31782.57
2025-05,Central,Equipment,408,30657.06
2025-05,Central,Accessories,503,26664.3
2025-05,E,Apparel,490,25060.99
2025-05,East,Footwear,333,23937.92
2025-05,EAST,Equipment,470,25267.18
2025-05,east,Accessories,282,21331.12
2025-05,South,Apparel,328,22741.47
2025-05,South,Footwear,481,23863.37
2025-05,South,Equipment,279,23324.07
2025-05,South,Accessories,361,16613.49
2025-06,West,Apparel,562,40535.93
2025-06,West,Footwear,705,42914.34
2025-06,West,Equipment,823,395381.6
2025-06,West,Accessories,471,33012.93
2025-06,Central,Apparel,404,30690.08
2025-06,Central,Footwear,483,33302.37
2025-06,Central,Equipment,329,27736.03
2025-06,Central,Accessories,452,26598.57
2025-06,East,Apparel,451,26997.65
2025-06,east,Footwear,436,25594.48
2025-06,East,Equipment,339,26374.48
2025-06,East,Accessories,228,19048.0
2025-06,South,Apparel,323,25236.27
2025-06,South,Footwear,383,23882.8
2025-06,South,Equipment,277,23146.98
2025-06,South,Accessories,229,17697.34
2025-07,West,Apparel,665,42804.32
2025-07,West,Footwear,527,39137.13
2025-07,West,Equipment,461,36461.06
2025-07,West,Accessories,720,34873.22
2025-07,Central,Apparel,661,36196.85
2025-07,Central,Footwear,449,31166.45
2025-07,Central,Equipment,640,29534.47
2025-07,Central,Accessories,530,27712.69
2025-07,E,Apparel,332,25501.99
2025-07,east,Footwear,305,24449.52
2025-07,E,Equipment,452,25333.93
2025-07,east,Accessories,227,18794.88
2025-07,South,Apparel,308,22726.3
2025-07,South,Footwear,306,23075.17
2025-07,South,Equipment,327,23152.19
2025-07,South,Accessories,248,19045.57
2025-08,West,Apparel,731,39353.28
2025-08,West,Footwear,725,41517.68
2025-08,West,Equipment,613,39184.89
2025-08,West,Accessories,546,33837.38
2025-08,Central,Apparel,611,35583.18
2025-08,Central,Footwear,590,32938.23
2025-08,Central,Equipment,582,29005.89
2025-08,Central,Accessories,502,24986.39
2025-08,east,Apparel,357,26921.73
2025-08,E,Footwear,436,23377.02
2025-08,E,Equipment,324,23980.97
2025-08,East,Accessories,348,22983.18
2025-08,South,Apparel,488,23905.43
2025-08,South,Footwear,405,21897.12
2025-08,South,Equipment,462,21049.06
2025-08,South,Accessories,353,19751.08
2025-09,West,Apparel,705,47297.91
2025-09,West,Footwear,1130,56581.16
2025-09,West,Equipment,646,41745.15
2025-09,West,Accessories,546,37136.24
2025-09,Central,Apparel,543,33990.68
2025-09,Central,Footwear,858,40371.72
2025-09,Central,Equipment,522,33495.19
2025-09,Central,Accessories,477,29122.62
2025-09,east,Apparel,344,24151.15
2025-09,East,Footwear,594,30294.25
2025-09,East,Equipment,421,24058.61
2025-09,EAST,Accessories,467,23206.31
2025-09,South,Apparel,383,26532.79
2025-09,South,Footwear,622,33598.32
2025-09,South,Equipment,362,22782.39
2025-09,South,Accessories,251,19929.05
2025-10,West,Apparel,836,47829.15
2025-10,West,Footwear,810,56214.13
2025-10,West,Equipment,496,41086.49
2025-10,West,Accessories,625,33426.61
2025-10,Central,Apparel,694,35591.47
2025-10,Central,Footwear,846,40616.47
2025-10,Central,Equipment,444,27949.46
2025-10,Central,Accessories,505,28632.59
2025-10,EAST,Apparel,337,24669.92
2025-10,East,Footwear,541,34181.76
2025-10,East,Equipment,297,24342.32
2025-10,east,Accessories,321,22470.15
2025-10,South,Apparel,319,26229.13
2025-10,South,Footwear,472,31537.24
2025-10,South,Equipment,289,23544.25
2025-10,South,Accessories,461,22062.0
2025-11,West,Apparel,858,49182.56
2025-11,West,Footwear,857,58094.62
2025-11,West,Equipment,758,37856.84
2025-11,West,Accessories,518,37829.2
2025-11,Central,Apparel,699,45418.04
2025-11,Central,Footwear,907,43755.83
2025-11,Central,Equipment,456,28413.17
2025-11,Central,Accessories,506,27833.57
2025-11,East,Apparel,340,28363.38
2025-11,EAST,Footwear,509,34611.59
2025-11,east,Equipment,297,25254.58
2025-11,East,Accessories,396,22100.33
2025-11,South,Apparel,371,27916.98
2025-11,South,Footwear,452,32090.75
2025-11,South,Equipment,478,24976.76
2025-11,South,Accessories,307,21627.5
2025-12,West,Apparel,1090,53048.07
2025-12,West,Footwear,687,40071.31
2025-12,West,Equipment,520,41208.03
2025-12,West,Accessories,497,36142.97
2025-12,Central,Apparel,486,40284.23
2025-12,Central,Footwear,519,34769.85
2025-12,Central,Equipment,543,31264.46
2025-12,Central,Accessories,341,28574.5
2025-12,E,Apparel,456,29907.62
2025-12,East,Footwear,365,26031.25
2025-12,east,Equipment,375,23063.81
2025-12,E,Accessories,338,20129.84
2025-12,South,Apparel,465,32585.74
2025-12,South,Footwear,477,25361.57
2025-12,South,Equipment,286,23475.84
2025-12,South,Accessories,296,21556.21
